redcap_data_access_group_e,dag_id_e,place_name,postcode,country,lon,lat,ccg,all_people,white,white_scottish,white_other_british,white_irish,white_gypsy_traveller,white_polish,white_other_white,mixed_or_multiple_ethnic_groups,asian_asian_british,asian_asian_british_pakistani,asian_asian_british_indian,asian_asian_british_bangladeshi,asian_asian_british_chinese,asian_asian_british_other_asian,african,african_african_african_scottish_or_african_british,african_other_african,caribbean_or_black,caribbean_or_black_caribbean_caribbean_scottish_or_caribbean_british,caribbean_or_black_black_black_scottish_or_black_british,caribbean_or_black_other_caribbean_or_black,other_ethnic_groups,other_ethnic_group_arab,other_ethnic_group_any_other_ethnic_group,white_english_welsh_scottish_northern_irish_british,african_caribbean,white_perc,white_scottish_perc,white_other_british_perc,white_irish_perc,white_gypsy_traveller_perc,white_polish_perc,white_other_white_perc,mixed_or_multiple_ethnic_groups_perc,asian_asian_british_perc,asian_asian_british_pakistani_perc,asian_asian_british_indian_perc,asian_asian_british_bangladeshi_perc,asian_asian_british_chinese_perc,asian_asian_british_other_asian_perc,african_perc,african_african_african_scottish_or_african_british_perc,african_other_african_perc,caribbean_or_black_perc,caribbean_or_black_caribbean_caribbean_scottish_or_caribbean_british_perc,caribbean_or_black_black_black_scottish_or_black_british_perc,caribbean_or_black_other_caribbean_or_black_perc,other_ethnic_groups_perc,other_ethnic_group_arab_perc,other_ethnic_group_any_other_ethnic_group_perc,white_english_welsh_scottish_northern_irish_british_perc,african_caribbean_perc,HBName,Country,mixed_multiple_ethnic_groups_white_and_black_caribbean,mixed_multiple_ethnic_groups_white_and_black_african,mixed_multiple_ethnic_groups_white_and_asian,mixed_multiple_ethnic_groups_other_mixed,black_african_caribbean_black_british_african,black_african_caribbean_black_british_caribbean,black_african_caribbean_black_british_other_black,mixed_multiple_ethnic_groups_white_and_black_caribbean_perc,mixed_multiple_ethnic_groups_white_and_black_african_perc,mixed_multiple_ethnic_groups_white_and_asian_perc,mixed_multiple_ethnic_groups_other_mixed_perc,black_african_caribbean_black_british_african_perc,black_african_caribbean_black_british_caribbean_perc,black_african_caribbean_black_british_other_black_perc
Cardiff and Vale University Health Board,7AH41,Cardiff and Vale University Health Board,CF14 4XW,Wales,-3.1902577,51.5067958,W11000029,472426,414952,NA,NA,3186,542,NA,14214,11726,29852,6570,8452,4959,4622,5249,NA,NA,NA,NA,NA,NA,NA,NA,4881,2325,397010,8690,87.83428515788717,NA,NA,0.6743913332458417,0.11472696252958137,NA,3.008725176006401,2.4820818498558506,6.318873220356204,1.3906939922866226,1.789063260701147,1.049688205136889,0.978354281940452,1.1110734802910933,NA,NA,NA,NA,NA,NA,NA,NA,1.0331776828540342,0.49214056804663586,84.03644168610533,1.8394415210001143,NA,NA,4270,1989,2890,2577,5378,1574,1738,0.9038452583050045,0.42101831821279945,0.6117360179160334,0.5454822554220132,1.1383793440665841,0.3331738727335075,0.3678883042000229
North Manchester General Hospital,01452,North Manchester General Hospital,M8 5RB,England,-2.2301193,53.5184925,E38000217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Manchester General Hospital,04152,North Manchester General Hospital,M8 5RB,England,-2.2301193,53.5184925,E38000217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aneurin Bevan University Health Board,11409,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.6624976,W11000028,576754,554377,NA,NA,1975,348,NA,7474,5547,11694,3407,2164,1927,1618,2578,NA,NA,NA,NA,NA,NA,NA,NA,1088,863,544580,3185,96.12018295495133,NA,NA,0.3424336892331913,0.06033768296362054,NA,1.2958731105462642,0.9617618603425377,2.027554208553387,0.5907197869455608,0.37520329291170934,0.33411125020372634,0.28053554895154603,0.4469843295408441,NA,NA,NA,NA,NA,NA,NA,NA,0.1886419513345378,0.14963051838392105,94.42153847220825,0.5522285064342857,NA,NA,2346,697,1441,1063,1803,1060,322,0.4067592075650971,0.12084875007368825,0.2498465550303942,0.18430734767335813,0.31261161604427534,0.18378719523401657,0.05582969515599372
North Manchester General Hospital,14152,North Manchester General Hospital,M8 5RB,England,-2.2301193,53.5184925,E38000217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alder Hey Children's Hospital,CBS25,Alder Hey Children's Hospital,L14 5AB,England,-2.8959056,53.4182405,E38000101,466415,414671,NA,NA,6729,185,NA,12272,11756,19403,1999,4915,1075,7978,3436,NA,NA,NA,NA,NA,NA,NA,NA,5629,2648,395485,12308,88.90601717354716,NA,NA,1.4427066024891995,0.03966424750490443,NA,2.631133218271282,2.520502127933278,4.160029158581949,0.42858827439083214,1.0537825756032717,0.23048143820417438,1.7104938734817707,0.7366829969019006,NA,NA,NA,NA,NA,NA,NA,NA,1.2068651308384166,0.5677347426647942,84.79251310528177,2.6388516664343986,NA,NA,3473,3164,2283,2836,8490,1467,2351,0.7446158464028816,0.678365833002798,0.48947825434430714,0.6080421941832918,1.8202673584683169,0.3145267626469989,0.5040575453190828
Royal Albert Edward Infirmary,FFR02,Royal Albert Edward Infirmary,WN1 2NN,England,-2.6294065,53.5581785,E38000205,317849,309193,NA,NA,1459,151,NA,4064,2756,3519,676,1019,109,891,824,NA,NA,NA,NA,NA,NA,NA,NA,304,399,303519,1678,97.27669427935906,NA,NA,0.459022995195832,0.04750683500655972,NA,1.2785945527593292,0.8670783925700568,1.107129486013799,0.2126796057247309,0.3205924825939361,0.034293013349106026,0.2803217880188391,0.2592425963271868,NA,NA,NA,NA,NA,NA,NA,NA,0.09564289961585533,0.12553130574581012,95.49156989639734,0.527923636695412,NA,NA,1015,429,783,529,1310,216,152,0.31933402338846434,0.13496974978684848,0.24634338947110107,0.16643122992364298,0.41214538979200815,0.06795679709547615,0.047821449807927664
"Queen Elizabeth University Hospital, Glasgow",GN405,"Queen Elizabeth University Hospital, Glasgow",G51 4TF,Scotland,-4.3404361,55.8624213,S08000031,1213408,1124944,1029011,46106,18744,689,10844,19550,4694,62568,28374,13318,574,13409,6893,14129,13945,184,2170,1007,925,238,4903,3262,1641,1075117,16299,92.70945963764868,84.80338023154619,3.799711226561882,1.5447401039056938,0.05678221999525304,0.8936812679659274,1.6111645876737257,0.38684432606345104,5.156385980642949,2.338372583665181,1.0975698198792163,0.047304781244231126,1.1050693583691553,0.5680694374851658,1.1644063662016404,1.1492424642000054,0.015163902001635065,0.1788351486062396,0.0829893984546006,0.07623157256256759,0.01961417758907144,0.4040685408370474,0.2688296104855086,0.1352389303515388,88.60309145810807,1.3432415148078798,NHS Greater Glasgow and C,S92000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University Hospital Monklands Airdrie,L208H,University Hospital Monklands Airdrie,ML6 0JS,Scotland,-3.9995985,55.8658911,S08000032,574637,563086,530888,17905,6228,350,3872,3843,1272,8444,4070,1854,106,1547,867,963,933,30,319,146,133,40,553,308,245,548793,1282,97.98986142556083,92.38667193375993,3.11588011214036,1.0838146516844547,0.060908016713159784,0.673816687752442,0.6687700235104944,0.22135713502611215,1.4694494089312036,0.708273222921601,0.3226384656748521,0.018446427918842677,0.26921343387216623,0.15087785854374153,0.16758405741363677,0.1623633702667945,0.005220687146842267,0.055513306661422776,0.025407344114632368,0.02314504635100072,0.00696091619578969,0.09623466640679247,0.053599054707580605,0.04263561169921185,95.50255204590027,0.22309736407505956,NHS Lanarkshire,S92000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen Royal Infirmary,N100H,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.1359876,57.1546176,S08000020,569061,546090,448133,64891,3805,533,11036,17692,2491,12155,1444,3958,741,2775,3237,5620,5574,46,914,498,301,115,1791,1150,641,513024,6534,95.9633501505111,78.74955408998332,11.403171189028944,0.6686453649081557,0.09366306951275874,1.9393351503617362,3.108981286716187,0.43773866070597,2.1359748779129126,0.25375135530285853,0.6955317619727939,0.13021451127383532,0.4876454369566708,0.5688318124067543,0.9875918398906268,0.9795083479626965,0.008083491927930397,0.1606154700462692,0.08751258652411605,0.05289415370232717,0.020208729819825993,0.3147290009331161,0.20208729819825993,0.1126417027348562,90.15272527901227,1.148207309936896,NHS Grampian,S92000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
