redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,tds_mean,postcode_start,city,imd_average_postcodes_new
Cardiff and Vale University Health Board,cardiff_and_vale_u,7AH41,Cardiff and Vale University Health Board,CF14 4XW,Wales,-3.1902577,51.5067958,W11000029,0.2852880774520998,CF14,Cardiff,1040.481217191601
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,01452,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,3.3886492428788495,M8,Manchester,6931.867791364734
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,04152,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,3.3886492428788495,M8,Manchester,6931.867791364734
Aneurin Bevan University Health Board,aneurin_bevan_univ,11409,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.6624976,W11000028,-0.11906711624574683,NP11,Caerphilly,839.2555731549924
University College London Hospitals NHSFT,university_college,14142,University College London Hospitals NHSFT,NW1 2BU,England,-0.1363551,51.5250834,E38000027,4.9936313463509014,NW1,Camden,16052.945986403043
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14152,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,3.3886492428788495,M8,Manchester,6931.867791364734
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14153,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,3.3886492428788495,M8,Manchester,6931.867791364734
Alder Hey Children's Hospital,alder_hey_children,CBS25,Alder Hey Children's Hospital,L14 5AB,England,-2.8959056,53.4182405,E38000101,2.94159140577737,L14,Liverpool,8532.415682677978
"Queen Elizabeth University Hospital, Glasgow",queen_elizabeth_un,GN405,"Queen Elizabeth University Hospital, Glasgow",G51 4TF,Scotland,-4.3404361,55.8624213,S08000031,3.019275767976359,G51,Glasgow,2318.6194634568483
Aberdeen Royal Infirmary,aberdeen_royal_inf,N100H,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.1359876,57.1546176,S08000020,-0.34231016921157476,AB25,Aberdeen,4395.31208499336
