redcap_data_access_group_e,redcap_data_access_group_unlabelled,dag_id_e,place_name,postcode,country,lon,lat,ccg,postcode_start,city,imd_average_postcodes_new,tds_mean,w_me_imd,w_me_tds,w_har_tds,w_har_imd,w_med_imd,w_med_tds,prop_within_10_imd_ccg,prop_within_20_imd_ccg,prop_within_10_tds_ccg,prop_within_20_tds_ccg,all_people,ccg_name,updated_all_age_mid_2018,multiplication_factor,scotland_average_imd_rank,average_imd_rank,wales_average_imd_rank,wimd15,avg_wimd_2019,weighted_arith,w_imd,w_imd_centred,w_imd_centred_std_country,w_imd_centred_std_uk
Cardiff and Vale University Health Board,cardiff_and_vale_u,7AH41,Cardiff and Vale University Health Board,CF14 4XW,Wales,-3.1902577,51.50679580000001,W11000029,CF14,Cardiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496413,Cardiff and Vale University Health Board,496413,1.0507740894870308,NA,4,4,NA,932,NA,932,20.176470588235247,0.15383283513113258,0.6962566352618679
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,01452,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.3301373211932574,0.5881695874003979,547627,NHS Manchester CCG,547627,1.088446853378968,NA,3,NA,31.94540754,NA,NA,31.94540754,9.897466736899194,-2.0693417387483666,0.3275771992349992
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,04152,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.3301373211932574,0.5881695874003979,547627,NHS Manchester CCG,547627,1.088446853378968,NA,3,NA,31.94540754,NA,NA,31.94540754,9.897466736899194,-2.0693417387483666,0.3275771992349992
Aneurin Bevan University Health Board,aneurin_bevan_univ,11049,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.66249759999999,W11000028,NP11,Caerphilly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591225,Aneurin Bevan University Health Board,591225,1.0250904198323723,NA,5,5,NA,837,NA,837,-74.82352941176475,-0.5704821174542309,0.5881918410904798
Aneurin Bevan University Health Board,aneurin_bevan_univ,11409,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.66249759999999,W11000028,NP11,Caerphilly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591225,Aneurin Bevan University Health Board,591225,1.0250904198323723,NA,5,5,NA,837,NA,837,-74.82352941176475,-0.5704821174542309,0.5881918410904798
University College London Hospitals NHSFT,university_college,14142,University College London Hospitals NHSFT,NW1 2BU,England,-0.1363551,51.5250834,E38000027,NW1,Camden,16465.98531375167,4.355710042695594,16088.619180531732,4.508217805498748,7.617352613705777,11723.505356659885,14838.499999999987,4.9320342024823525,0,0.16029463823761675,0.5123900552787082,0.6669888988735488,262226,NHS Camden CCG,262226,1.1901079250968967,NA,94,NA,20.20301,NA,NA,20.20301,-1.8449308031008087,0.38573429115207464,0.34093446000593297
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14151,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.3301373211932574,0.5881695874003979,547627,NHS Manchester CCG,547627,1.088446853378968,NA,3,NA,31.94540754,NA,NA,31.94540754,9.897466736899194,-2.0693417387483666,0.3275771992349992
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14152,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.3301373211932574,0.5881695874003979,547627,NHS Manchester CCG,547627,1.088446853378968,NA,3,NA,31.94540754,NA,NA,31.94540754,9.897466736899194,-2.0693417387483666,0.3275771992349992
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14153,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.3301373211932574,0.5881695874003979,547627,NHS Manchester CCG,547627,1.088446853378968,NA,3,NA,31.94540754,NA,NA,31.94540754,9.897466736899194,-2.0693417387483666,0.3275771992349992
Alder Hey Children's Hospital,alder_hey_children,CBS25,Alder Hey Children's Hospital,L14 5AB,England,-2.8959056,53.4182405,E38000101,L14,Liverpool,6823.02398989899,2.2652371023484847,6975.550865645402,2.181793994121917,12.779332124269942,499.8389986082434,3462,2.5084938481910566,0.48335066410814403,0.6279407823504819,0.23910251599969984,0.44360065606809385,494813.99999999994,NHS Liverpool CCG,494814,1.0608878359400962,NA,6,NA,36.82340586,NA,NA,36.82340586,14.775465056899193,-3.0892234714636277,0.3220283583463763
Frimley Health NHSFT,frimley_health_nhs,DRU01,Frimley Health NHSFT,GU16 7UJ,England,-0.7405398999999999,51.319438,E38000178,GU16,Surrey Heath,25806.22635135135,-1.9995505738547297,25907.23668251634,-2.0274385344927603,-10.654319824201899,23315.460707413615,28040.21125,-2.702127960597511,0,0,0.01015380982536735,0.025770927474320308,96474.00000000001,NHS Surrey Heath CCG,96474,1.035495400732019,NA,187,NA,15.64859885,NA,NA,15.64859885,-6.399341953100807,1.3379610920747333,0.34611521267431855
