redcap_data_access_group_e,redcap_data_access_group_unlabelled,dag_id_e,place_name,postcode,country,lon,lat,ccg,postcode_start,city,imd_average_postcodes_new,tds_mean,w_me_imd,w_me_tds,w_har_tds,w_har_imd,w_med_imd,w_med_tds,prop_within_10_imd_ccg,prop_within_20_imd_ccg,prop_within_10_tds_ccg,prop_within_20_tds_ccg,all_people,ccg_name,updated_all_age_mid_2018,multiplication_factor,scotland_average_imd_rank,average_imd_rank,wales_average_imd_rank,wimd15
University College London Hospitals NHSFT,university_college,14142,University College London Hospitals NHSFT,NW1 2BU,England,-0.1363551,51.5250834,E38000027,NW1,Camden,16465.98531375167,4.355710042695594,16088.619180531732,4.508217805498748,7.617352613705777,11723.505356659885,14838.499999999987,4.9320342024823525,0,0.16029463823761675,0.5123900552787082,0.6669888988735488,262226,NHS Camden CCG,262226,1.1901079250968967,NA,94,NA,NA
Livewell Southwest,livewell_southwest,NR501,Mount Gould Hospital,PL4 7QD,England,-4.111707,50.3789894,E38000230,PL4,Plymouth,16386.417871222075,-1.0334518857634691,16537.218276292137,-1.0478824945579135,-91.88915519735362,7836.803464365692,16438,-1.6447812480388693,0.062447188160974894,0.1259184188289752,0.025121235695599174,0.07773461687050492,1194166,NHS Devon CCG,1194166,1.0532960761795893,NA,98,NA,NA
Cornwall Partnership NHSFT,cornwall_partnersh,RJ827,Cornwall Partnership NHSFT,PL31 2QN,England,-4.7385973,50.470256,E38000089,PL31,Cornwall,13376.637423653527,-1.130531639,13478.10280910649,-1.1435047901523698,-0.14258867576626028,9129.05861558636,12654.575376884422,-1.5704465936279068,0.0464380065709218,0.12439286329040032,0.010050965805761156,0.05063651127459418,568210,NHS Kernow CCG,568210,1.063116023918754,NA,63,NA,NA
Dartford and Gravesham NHS Trust,dartford_and_grave,RN070,Dartford and Gravesham NHS Trust,DA2 8DA,England,0.258883,51.4352521,E38000043,DA2,Dartford,17030.83821656051,-0.3755785139477707,17143.52683954,-0.4169683085924211,-5.302929658558506,11675.2387261934,17150,-0.7889868956315798,0.02015048841661958,0.13504526441164394,0.04247984747905479,0.12000455286403604,264478,"NHS Dartford, Gravesham and Swanley CCG",264478,1.075118191537364,NA,103,NA,NA
North Cumbria Integrated Care NHSFT,north_cumbria_inte,RNN62,North Cumbria Integrated Care NHSFT,CA11 7QE,England,-2.753599,54.667373,E38000215,CA11,Eden,15099.182072829131,-1.2358682826984126,15423.694849252159,-1.3372371559433749,3.2298824982676515,7500.33362112617,15110,-1.9046593495251716,0.07222685308966233,0.1665476621109416,0.017199565921708633,0.0616988817765755,318631,NHS North Cumbria CCG,318631,0.6297827006471148,NA,86,NA,NA
North West Boroughs Healthcare NHSFT,north_west_borough,RTV33,North West Boroughs Healthcare NHSFT,WA2 8WA,England,-2.608387,53.4286247,E38000194,WA2,Warrington,18179.963581183612,-1.2147123573034901,18741.052342075167,-1.382350712574253,-3.211725728513524,9273.53587604344,21083,-2.3585574393965016,0.07962213893523584,0.182910104515816,0.037796008495932745,0.09473262071799543,209546.99999999997,NHS Warrington CCG,209547,1.0361918230907687,NA,126,NA,NA
North West Boroughs Healthcare NHSFT,north_west_borough,RVT33,North West Boroughs Healthcare NHSFT,WA2 8WA,England,-2.608387,53.4286247,E38000194,WA2,Warrington,18179.963581183612,-1.2147123573034901,18741.052342075167,-1.382350712574253,-3.211725728513524,9273.53587604344,21083,-2.3585574393965016,0.07962213893523584,0.182910104515816,0.037796008495932745,0.09473262071799543,209546.99999999997,NHS Warrington CCG,209547,1.0361918230907687,NA,126,NA,NA
East Lancashire Hospitals NHS Trust,east_lancashire_ho,RXR29,East Lancashire Hospitals NHS Trust,BB10 2PQ,England,-2.228172,53.809828,E38000050,BB10,Burnley,12276.483427647534,-0.30054400670088927,12263.840060773242,-0.3221798310402784,1.2405178028347539,1319.2790238988007,9961,-0.8095285315999999,0.2527019309512521,0.36324134735571745,0.05913538209559933,0.1777159389681479,380013.00000000006,NHS East Lancashire CCG,380013,1.0236977931985691,NA,51,NA,NA
Manchester University Hospital,manchester_univers,R0A09,Trafford General Hospital,M41 5SL,England,-2.370682954788208,53.45406723022461,E38000187,M41,Trafford,20299.2585499316,-0.9630903067072504,20407.228164252487,-1.0335006164985743,-1.2799281397633824,10574.54458533969,22793,-1.7787603407478718,0.05147896088764134,0.08957621657883819,0.03693650751617544,0.1146492598575325,236369.99999999997,NHS Trafford CCG,236370,1.0432169054365383,NA,151,NA,NA
Kingston Hospital NHS Foundation Trust,kingston_hospital,RAX01,Kingston Hospital,KT2 7QB,England,-0.2826094925403595,51.414825439453125,E38000090,KT2,Kingston upon Thames,23355.904,0.015334095020000004,23426.7519242784,-0.09165586269523303,0.365875239403529,21049.887815443868,24659,-0.4956689857932267,0,0.010920904660752217,0.03855429214044733,0.1185430463576159,175470,NHS Kingston CCG,175470,1.0962763963513682,NA,177,NA,NA
