,All people,White,White: Scottish,White: Other British,White: Irish,White: Gypsy/Traveller,White: Polish,White: Other White,Mixed or multiple ethnic groups,"Asian, Asian Scottish or Asian British","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian",African,"African: African, African Scottish or African British",African: Other African,Caribbean or Black,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British",Caribbean or Black: Other Caribbean or Black,Other ethnic groups,"Other ethnic groups: Arab, Arab Scottish or Arab British",Other ethnic groups: Other ethnic group
S92000003,"5,295,403","5,084,407","4,445,678","417,109","54,090","4,212","61,201","102,117","19,815","140,678","49,381","32,706","3,788","33,706","21,097","29,638","29,186",452,"6,540","3,430","2,380",730,"14,325","9,366","4,959"
S08000001,"373,712","369,392","342,291","20,711","2,487",216,858,"2,829",854,"2,752",539,795,45,906,467,253,243,10,181,115,54,12,280,171,109
S08000002,"113,870","112,400","89,741","18,624",767,64,"1,302","1,902",316,733,124,184,45,200,180,207,198,9,91,53,30,8,123,63,60
S08000003,"151,324","149,553","121,563","24,462","1,063",102,983,"1,380",413,"1,032",167,301,55,279,230,127,125,2,72,51,16,5,127,59,68
S08000004,"365,198","356,550","312,957","31,464","2,260",316,"3,058","6,495","1,257","5,748","1,902","1,066",118,"1,735",927,704,684,20,422,234,141,47,517,299,218
S08000005,"297,636","291,033","261,772","20,584","2,014",281,"2,157","4,225",785,"4,670","1,759",842,37,"1,315",717,480,474,6,221,152,46,23,447,195,252
S08000006,"569,061","546,090","448,133","64,891","3,805",533,"11,036","17,692","2,491","12,155","1,444","3,958",741,"2,775","3,237","5,620","5,574",46,914,498,301,115,"1,791","1,150",641
S08000007,"1,213,408","1,124,944","1,029,011","46,106","18,744",689,"10,844","19,550","4,694","62,568","28,374","13,318",574,"13,409","6,893","14,129","13,945",184,"2,170","1,007",925,238,"4,903","3,262","1,641"
S08000008,"320,298","316,048","254,927","48,810","2,110",387,"3,940","5,874",941,"2,431",336,577,258,525,735,321,315,6,277,163,95,19,280,137,143
S08000009,"574,637","563,086","530,888","17,905","6,228",350,"3,872","3,843","1,272","8,444","4,070","1,854",106,"1,547",867,963,933,30,319,146,133,40,553,308,245
S08000010,"834,350","787,451","648,746","80,366","11,155",551,"17,357","29,276","5,194","31,069","7,936","7,566","1,372","8,913","5,282","5,264","5,138",126,"1,355",679,509,167,"4,017","2,719","1,298"
S08000011,"21,349","21,193","16,960","3,777",100,3,84,269,39,89,15,18,7,18,31,13,13,-,4,3,1,-,11,6,5
S08000012,"23,167","22,813","18,700","3,285",199,8,164,457,72,234,45,21,18,73,77,23,22,1,8,5,1,2,17,9,8
S08000013,"409,709","396,415","345,923","33,221","3,032",702,"5,486","8,051","1,420","8,611","2,644","2,165",400,"1,999","1,403","1,527","1,515",12,495,315,127,53,"1,241",982,259
S08000014,"27,684","27,439","24,066","2,903",126,10,60,274,67,142,26,41,12,12,51,7,7,-,11,9,1,1,18,6,12
