dag_id,arith,geom,weighted_arith,weighted_geom
A101H,4371.0803324099725,4214.12664804855,4396.426882632628,4218.033046265919
A103H,2246.75,1645.7417056625304,2094.502776870304,1569.943647497376
A110H,2031.6,1649.8823685995844,2106.4818222288172,1721.3902334124418
A111H,2332.353084627669,1501.9779240847429,2357.4289098549975,1519.9414721656085
A210H,2754.6262840035083,1807.4903714592622,2789.652814073983,1850.9619441622192
A215H,1962.5560747663553,1514.795723111724,1967.8940946591404,1520.3957037808925
A216H,1993.8283582089553,1715.552928920321,2120.60857098654,1874.8392650112742
A217H,5790.833333333333,5754.613372358872,5743.884517766497,5702.368856509981
B120H,3507.585738115095,3064.020313913848,3545.8973063444123,3104.631925706231
C106H,2629.6475524475522,2055.4723040704525,2752.1204451867766,2271.312339543842
C108H,3596.2373737373737,3476.250138226178,3632.2734480692993,3512.4615742283763
C113H,2179.8734177215188,1537.8858727508132,2383.441847434119,1658.1066483469554
C121H,3356.710837185414,2999.3733467244692,3506.0792377924445,3207.8469843641
C122H,2740.081227436823,2270.388546814233,2823.769813360752,2370.5797162640683
C206H,3014.9466666666663,2218.262508530366,2977.2264541497334,2204.716680768066
C306V,1999,608.5887603578891,2131.532920901458,654.26961021916145
C313H,2372.9500379939195,1182.8354648594793,2479.5372988326853,1333.9810515726365
C413V,2742.181818181818,1668.4218158458739,2532.839915186854,1453.7885856654925
C418H,2779.4520477174415,1910.9895263773042,2799.713086668332,1975.8724358891209
D102H,2796.42041712404,1755.1898632264465,2823.7593080902807,1789.4601223083612
F701H,2489.8333333333335,1461.8537988842595,2154.6374309392263,1309.3327668935306
F704H,2908.9339709640885,2095.4153141200095,2938.2557442960533,2138.3456806744744
F705H,2714,1747.3590192570732,2460.369715390992,1541.6091346547312
F708H,4100.091666666666,3552.645819999976,4048.94856643283,3527.8850985403874
F709H,4854.125,4353.67933847397,4982.289304780757,4525.694651918682
F716H,3178.2727272727275,2575.0379623711556,3195.591982820329,2636.221367067758
F805H,3329.8260869565215,2409.8045043565667,3323.288754606727,2404.735305045072
G107H,1963.720048929659,914.9080725850654,2016.7520027972198,966.2519393429304
G109H,5610,5609.999999999999,5610,5609.999999999999
G207H,427,318.86203913291394,403.4796044499382,298.37330049245355
G306H,3768.642857142857,3127.911800005863,3739.8718427605836,3092.5572676090087
G405H,2731.4310035157437,1562.133061106553,2802.2197525594274,1633.74664421856
G513H,2708.2590103848515,1537.5952174968656,2833.0663039671877,1649.0051989840351
G516H,3089.6245306633245,1931.7573356390367,3137.4054818638638,1986.9169917781435
G583V,2143.1739130434785,1134.1145260625044,2152.3300531084037,1162.2836777084876
G584V,4355,4354.999999999997,4355,4354.999999999997
H101H,3072.0833333333335,2716.0005318023195,3101.3737161789068,2751.9930581855238
H103H,2880.103515625,2432.915994860275,2941.1393081242213,2510.1934184609195
H104H,2779.222222222222,2323.382351783572,2886.7212054275797,2411.44786814279
H106H,3069.48,2946.5928872034506,3058.325054360051,2934.093756009958
H201H,3677.423728813559,2586.6538166785303,3656.828032120138,2562.0306023873477
H202H,3469.634730828816,2830.503386847168,3505.526202663807,2883.2862848324116
H208H,3836.3880597014927,3341.9127501619214,3801.114382405952,3357.4367946363077
H210H,4632,4423.382916762754,4666.146973951022,4471.443973790196
H211H,4400.488188976378,4365.287844686337,4391.842828741835,4360.291367699708
H212H,3543.468944099378,3257.093127230471,3599.2919364939935,3347.382055489187
H214H,3341.1052631578955,3243.932306719037,3351.495715624807,3260.6277060935195
H215H,3256,3175.5218274344516,3300.1837798299352,3226.2316814481374
H219H,2420.9666666666667,1990.3523662795271,2456.623706004141,2080.936998789786
H224H,3480.3033707865166,3299.894340667689,3479.900266295344,3298.118706407929
H226H,3259.410714285714,3159.1020886755973,3214.3822586778206,3101.529999938302
H227H,4245.718446601942,4192.948671675727,4318.450710327686,4268.088014687661
H239V,3973,3972.9999999999995,3973,3972.9999999999995
L106H,2340.971090259161,1574.5897412017075,2420.3693912726153,1632.8429460664734
L302H,3008.5339418933313,2198.5836931504596,3080.4730668659663,2268.990993548335
L308H,2445.5285939968417,1678.7758751034542,2561.7723519420038,1786.5265890110447
L330V,3153.3,2779.6177174760337,3317.1280976676385,2909.4499742393223
N101H,4015.6077869782152,3469.010067020884,4049.2921161100426,3498.5399010425153
N102H,4319.4,4007.973208651884,4452.276773909211,4162.347524003725
N121H,4223.870538838348,3654.8349627787593,4313.701010755283,3750.6438250738174
N151H,4969.1869918699185,4902.515845141845,4952.800470981799,4888.044140986327
N181H,5514.1100917431195,5415.856881511738,5563.344971668016,5475.974685114728
N183H,4240.157024793389,3644.6098559962043,4334.016444883198,3744.485591062051
N331H,4323.61038961039,4094.1230046805485,4337.940076251047,4110.433296658282
N332H,4885.333333333333,4814.088066396683,4912.869933145672,4852.112436071033
N333H,3270.262548262548,2875.5399608552757,3306.1430794012886,2887.62831724657
N334H,3096.0245901639337,2606.2352128812536,3033.688617975071,2534.5858470798703
N335H,3721.272727272727,3395.281388485869,3746.7956802568697,3445.3034190386325
N336H,4087.21935483871,3993.9900467473412,4112.6670201744155,4007.492604459289
N337H,3206.4275862068966,3096.4466067945577,3204.384546549087,3093.270078466623
N411H,3846.5990415335496,3553.93892167613,3952.0854087420184,3670.2740963408314
N431H,3757.4,3634.702907467533,3893.1739130434785,3772.7291909222886
N432H,3773.4137931034484,3672.745035098377,3758.00964354039,3680.227622217663
N433H,3557.7551020408164,3438.338875038399,3471.203305029707,3342.4251427947715
N434H,4705.5,4705.495510570589,4705.5051302288875,4705.500640800644
N451H,4608.4,4526.288410129678,4670.026633143468,4607.090163366932
N494H,4895.403508771929,4651.65268609516,4832.347906715369,4620.251256320802
N498V,4860.9,4662.939455454495,4986.72569906791,4808.950070769736
R101H,3938.458651026394,3763.890815950671,4037.531513444887,3869.2363808108057
S102H,4459.64705882353,4270.196544837357,4315.683499671308,4171.444587002528
S108H,4954.128205128205,4785.485446087736,5026.537248695856,4864.604984364216
S113H,4012.5,3726.498845412799,3965.2944297082227,3677.6418711897622
S116H,4005.586230839072,3197.3680562963855,4069.6586542936543,3281.2731084408733
S121K,4649.92,4036.596896075355,4505.357529568549,3956.5183898655546
S201H,3954.6666666666665,3489.1855940492806,4863.74507697816,4457.269700543099
S203K,3988.052356020942,3233.7345817966875,3982.3853601309006,3231.5043458520354
S209H,6562,6561.999999999995,6562,6561.999999999995
S225H,3673.359158151588,2789.005469263914,3802.616981592292,2954.3791875356133
S308H,3207.799946279883,2494.709836051921,3342.6876263058534,2616.728068673012
S314H,3569.506651294783,2740.224849187544,3630.9601463297495,2813.7526646646124
S316H,4233.026706231454,3457.961870808909,4336.788658909585,3569.3264074419762
T101H,3206.709950235925,2244.7868428563356,3253.8541183062744,2279.3910257208045
T104H,2860,2860,2860,2860
T107H,3050.720164609053,1923.5709038303655,3011.486834246406,1869.86721966825
T202H,3972.984862568052,3495.430162017602,4010.7438704907486,3538.0998675590095
T205H,4886.2786885245905,4774.831982731896,4841.041301858836,4746.586848919083
T209H,4121.697674418605,3826.357585560482,4112.235791217896,3819.274732812324
T304H,3315.7906976744184,2803.6658365731223,3343.563203793074,2858.6187297153456
T310H,3293.4375,3029.630393761344,3216.7183123877917,2952.5102158894333
T312H,3385.15,3129.1823627545587,3421.172903716859,3160.6484931573327
T313H,3869.887931034483,3589.7310413226596,3871.237595304701,3581.232013003861
T316H,4403.630434782609,4224.175682718627,4403.0512217148525,4213.766533385156
T317V,5260,5239.6713637402945,5103.042016806723,5085.23766791597
T320H,4967.340909090909,4905.565225083856,5139.869109709158,5079.056767374984
T323H,5709,5707.54237829207,5709.807933194154,5708.3502998917975
V102H,2008,2007.9999999999998,2008,2007.9999999999998
V103V,3347.7557251908397,2647.225626057885,3486.6331829945952,2770.36061067977
V217H,3120.295438781918,2281.711092179791,3230.3452493315554,2388.1550400793517
W102V,3290.03125,3209.63199286195,3254.8556030936315,3168.3499843405616
