LGD2014code,LGD2014name,Income_perc,Income_child_perc,Income_65_perc,Empl_perc,PD_ratio,PB_ratio,Canc_ratio,EA_ratio,LBW_perc,Dental_ratio,Presc_ratio,LTHP_ratio,Pr_SEN_perc,Pr_abs_perc,PP_GCSE_perc,PP_NEETs_perc,PP_HE_perc,PP_SEN_perc,PP_Abs_perc,WA_LQ_perc,Broadband_speed,Unfit_perc,Disrepair_perc,Energy_perc,Overcrowd_perc,Adapt_perc,LAPS_perc,Road_Defect_ratio,Collisions_perc,Flood_risk_perc,Violent_rate,Burglary_rate,Theft_rate,Veh_crime_rate,Drim_Dam_rate,Delib_fire_rate,ASB_rate
N09000001,Antrim and Newtownabbey,10.6,15.7,5.2,16.9,99.6,88.6,103.4,103.6,4.3,78.7,97.5,98,8.6,4.1,37.3,3.2,66.7,7.8,6.4,32.8,6.2,1.5,14.2,25.9,2.7,84,2.2,93.9,3.9,3.2,11.2,3.4,5.9,1.5,7.4,3,24.7
N09000002,Armagh Banbridge and Craigavon,13.5,19.6,6.5,18.9,92.9,97.6,100.3,90.3,4.3,108.9,103.4,97.6,8.3,4.3,36.2,2,63.3,8.1,6.4,36.2,11.3,2.7,15.7,26.8,3.5,84.1,1.9,130,3.8,2.1,14.4,4,4.8,1.7,7.6,2.3,23.9
N09000003,Belfast,12.4,18.2,4.1,24.9,133.9,123.1,110,119.6,5.2,107.2,113.9,109.8,11.8,5.5,42.1,4.8,70.4,11.7,7.6,38.1,1,1.4,16,24.9,5.2,81.6,4.9,226.3,4.6,3.9,22.6,6,12.5,4.3,13.2,4.7,39
N09000004,Causeway Coast and Glens,14.8,21.7,7.5,21.2,88.9,94.7,93.9,86.1,4.8,95.5,91.7,97.1,7.8,4.1,36.5,2.9,63.9,7.8,6.2,38.2,13.5,2.7,16.4,28.3,3.6,85,1.3,57.7,3.9,2.3,14.6,3.1,5.7,1.3,8.4,2.6,26.7
N09000005,Derry and Strabane,15.5,21,5.4,29.5,114.5,130.9,102.8,105.3,4.5,100.4,116.7,109,9.1,5.3,37.9,3,63.3,8.8,7.4,43,8.5,2.3,15.3,21.6,5.7,82.7,2.5,92.8,4.1,1.6,21.7,3.9,6.7,2.9,11.8,4.8,33.1
N09000006,Fermanagh and Omagh,15,20.3,8.4,21.2,95.8,105.2,97.9,87.5,4,82.7,99.5,97,9.7,4.1,30.4,1.5,58.5,10.8,6.2,37.8,29.1,4.1,17.2,30,4.2,85.7,1.3,73.1,4.7,1.1,14.1,3.1,5.1,1.8,7.1,2.4,23
N09000007,Lisburn and Castlereagh,9.9,14.8,5.3,13.9,79.4,72.3,93.1,89.6,3.5,89,82,93.7,8.7,4,26.5,1.6,58.9,8,5.6,27.8,6.8,1.7,14.3,25.8,2.8,84.9,2.1,134.8,4.6,2.7,10.6,3.3,4.5,1.4,5.2,1.4,19.4
N09000008,Mid and East Antrim,11.6,17.2,6.5,17.5,91.2,83.4,98.5,94.7,4.4,87.8,95.7,95.9,7.3,4.2,35.4,3.7,64.1,6.8,6.3,33.6,10.6,2.6,15.6,29,2.4,84.9,2.6,90.4,3.8,2.7,12,2.9,5.6,1,7.3,2.6,24.5
N09000009,Mid Ulster,13.3,18.9,7.2,18.8,88.6,102.7,93.3,89.9,3.8,89.3,106.5,96.3,8.5,4.3,35.9,3,61.6,7.1,5.9,39.1,20.5,3.7,17.2,29.9,5.1,83.3,1,77.6,4.1,1.3,11.6,2.2,4,1.5,6.5,1.7,19.7
N09000010,Newry Mourne and Down,15.3,21.4,7.8,21.5,93.1,103.7,100.1,101.7,3.6,117.1,95.5,98,9.2,4.6,33.3,1.8,62.3,9.1,6.3,34.4,15.9,3.1,16.2,29.1,4.6,84.6,1.6,127.9,4.5,3.2,14.9,4.2,5.4,2.4,8.2,4.1,23.5
N09000011,North Down and Ards,12.4,18.9,6.6,16.7,90.4,76.5,95.2,106.3,4.7,120,87,95.8,8.6,4.2,33.7,1.9,61.9,6.9,6.6,28.8,5,2.2,16.1,28.5,2,84.9,2.2,66.9,4.1,0.8,12.2,2.5,4.6,1.4,7.5,2.2,29.3
