redcap_data_access_group,dag_id,place_name,postcode,country,lon,lat,ccg
Cardiff and Vale University Health Board,7AH41,Cardiff and Vale University Health Board,CF14 4XW,Wales,-3.1902577,51.5067958,W11000029
North Manchester General Hospital,01452,North Manchester General Hospital,M8 5RB,England,-2.2301193,53.5184925,E38000217
North Manchester General Hospital,04152,North Manchester General Hospital,M8 5RB,England,-2.2301193,53.5184925,E38000217
Aneurin Bevan University Health Board,11409,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.6624976,W11000028
North Manchester General Hospital,14152,North Manchester General Hospital,M8 5RB,England,-2.2301193,53.5184925,E38000217
Alder Hey Children's Hospital,CBS25,Alder Hey Children's Hospital,L14 5AB,England,-2.8959056,53.4182405,E38000101
Royal Albert Edward Infirmary,FFR02,Royal Albert Edward Infirmary,WN1 2NN,England,-2.6294065,53.5581785,E38000205
"Queen Elizabeth University Hospital, Glasgow",GN405,"Queen Elizabeth University Hospital, Glasgow",G51 4TF,Scotland,-4.3404361,55.8624213,S08000031
University Hospital Monklands Airdrie,L208H,University Hospital Monklands Airdrie,ML6 0JS,Scotland,-3.9995985,55.8658911,S08000032
Aberdeen Royal Infirmary,N100H,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.1359876,57.1546176,S08000020
Weston Area Health NHS Trust,RA7C2,Weston Area Health NHS Trust,BS23 4TQ,England,-2.9725926,51.32237,E38000222
Mid and South Essex University Hospitals Group,RAJ02,Mid and South Essex University Hospitals Group,SS1 1ND,England,0.7115468,51.5377565,E38000168
Mid and South Essex University Hospitals Group,RAT01,Mid and South Essex University Hospitals Group,SS1 1ND,England,0.7115468,51.5377565,E38000168
Bedford Hospital NHS Trust,RC112,Bedford Hospital NHS Trust,MK42 9DJ,England,-0.4732228,52.1286828,E38000010
East Sussex Healthcare NHS Trust,RCX01,East Sussex Healthcare NHS Trust,TN37 7PT,England,0.5681561,50.8849912,E38000076
Poole Hospital NHS Trust,RD300,Poole Hospital NHS Trust,BH15 2JB,England,-1.9728348,50.7218666,E38000045
Basildon and Thurrock University Hospitals NHS,RDHH0,Basildon and Thurrock University Hospitals NHS,SS16 5NL,England,0.4522164,51.5581745,E38000007
The Princess Alexandra Hospital,RDWG0,The Princess Alexandra Hospital,CM20 1QX,England,0.0858092,51.7710499,E38000197
Gloucester Royal Hospital,RET03,Gloucester Royal Hospital,GL1 3NN,England,-2.232898,51.8660784,E38000062
Maidstone and Tunbridge Wells NHS Trust,RFW03,Maidstone and Tunbridge Wells NHS Trust,TN2 4QJ,England,0.3069464,51.1483335,E38000199
Pinderfields,RFX05,Pinderfields,WF1 4DG,England,-1.4859205,53.6948876,E38000190
University Hospitals of Derby and Burton NHFT,RGT02,University Hospitals of Derby and Burton NHFT,DE22 3NE,England,-1.5139933,52.9106394,E38000229
Macclesfield District General Hospital,RHB71,Macclesfield District General Hospital,SK10 3BL,England,-2.1406887,53.2618713,E38000056
Lewisham and Greenwich NHS Trust,RJ2319,Lewisham and Greenwich NHS Trust,SE4 2LA,England,-0.0422111,51.4570454,E38000098
Imperial College Healthcare NHS Trust,RJY02,Imperial College Healthcare NHS Trust,W2 1NY,England,-0.1743487,51.5178108,E38000202
University Hospital Southampton NHS Foundation Trust,RMH01,University Hospital Southampton NHS Foundation Trust,SO16 6YD,England,-1.4346812,50.9336562,E38000167
Whiston Hospital,RMN01,Whiston Hospital,L35 5DR,England,-2.7853229,53.4212302,E38000091
"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",RMQ01,"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",SW10 9NH,England,-0.182401,51.4849533,E38000202
"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",RMQ91,"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",SW10 9NH,England,-0.182401,51.4849533,E38000202
North Cumbria Integrated Care NHSFT,RNN62,North Cumbria Integrated Care NHSFT,CA11 7QE,England,-2.753599,54.667373,E38000215
West Cumberland Hospital,RNNBX,West Cumberland Hospital,CA28 8JG,England,-3.5631756,54.5302041,E38000215
Royal Preston Hospital,RNX02,Royal Preston Hospital,PR2 9HT,England,-2.7040145,53.7908668,E38000227
East Sussex Healthcare NHS Trust,R0C02,East Sussex Healthcare NHS Trust,TN37 7PT,England,0.5681561,50.8849912,E38000076
Basildon and Thurrock University Hospitals NHS,RRDH0,Basildon and Thurrock University Hospitals NHS,SS16 5NL,England,0.4522164,51.5581745,E38000007
University Hospitals Birmingham,RRK02,University Hospitals Birmingham,B15 2TH,England,-1.9429313,52.4512054,E38000220
University Hospitals Birmingham,RRK03,University Hospitals Birmingham,B15 2TH,England,-1.9429313,52.4512054,E38000220
North West Boroughs Healthcare NHSFT,RTV33,North West Boroughs Healthcare NHSFT,WA2 8WA,England,-2.608387,53.4286247,E38000194
Maidstone and Tunbridge Wells NHS Trust,RWF00,Maidstone and Tunbridge Wells NHS Trust,TN2 4QJ,England,0.3069464,51.1483335,E38000199
